Chemical Name	CAS #	Formula	Synonyms	Get Report
O-CRESOL	95-48-7	C7H8O	ortho-Cresol; 2-Cresol; o-Cresylic acid; 1-Hydroxy-2-methylbenzene; 2-Hydroxytoluene; 2-Methyl phenol	Get Report 
O-CHLOROTOLUENE	95-49-8	C7H7Cl	1-Chloro-2-methylbenzene; 2-Chloro-1-methylbenzene; 2-Chlorotoluene; o-Tolyl chloride	Get Report 
O-DICHLOROBENZENE	95-50-1	C6H4Cl2	"o-DCB; 1,2-Dichlorobenzene; ortho-Dichlorobenzene; o-Dichlorobenzol"	Get Report 
2-CHLOROANILINE	95-51-2	C6H6ClN	1-amino-2-Chlorobenzene; 2-chlorobenzenamine; 2-Chlorophenylamine; o-Chloroaniline	Get Report 
O-TOLUIDINE	95-53-4	C7H9N	o-Aminotoluene; 2-Aminotoluene; 1-Methyl-2-aminobenzene; o-Methylaniline; 2-Methylaniline; ortho-Toluidine	Get Report 
"1,2-PHENYLENEDIAMINE"	95-54-5	C6H8N2		Get Report 
4-CHLORO-2-METHYLANILINE AND ITS HYDROCHLORIDE SALT	95-69-2	C7H8ClN	4-Chloro-o-Toluidine; 2-Amino-5-chlorotoluene; 5-Chloro-2-aminotoluene; 4-Chloro-2-methylbenzeneamine; 4-Chloro-2-toluidine; 4-Chloro-6-methylaniline; Fast Red TR; Fast Red TR 11; Fast Red TR Base; P-Chloro-o-toluidine	Get Report 
"TOLUENE-2,4-DIAMINE"	95-80-7	C7H10N2	Diaminotoluene; Methylphenylene diamine; TDA; Toluenediamine isomers; Tolylenediamine	Get Report 
"1,2-EPOXYETHYLBENZENE"	96-09-3	C8H8O		Get Report 
"1,2-DIBROMO-3-CHLOROPOPANE"	96-12-8	C3H5Br2Cl	"1-Chloro-2,3-dibromopropane; DBCP; Dibromochloropropane"	Get Report 
"2,3-DIBROMO-1-PROPANOL"	96-13-9	C3H6Br2O		Get Report 
3-METHYLPENTANE	96-14-0	C6H14	"Diethylmethylmethane; Diisopropyl; 2,2-Dimethylbutane; 2,3-Dimethylbutane; Isohexane; 2-Methylpentane; 3-Methylpentane"	Get Report 
"1,2,3-TRICHLOROPROPANE"	96-18-4	C3H5Cl3	Allyl trichloride; Glycerol trichlorohydrin; Glyceryl trichlorohydrin; Trichlorohydrin	Get Report 
DIETHYL KETONE	96-22-0	C5H10O	DEK; Dimethylacetone; Ethyl ketone; Metacetone; 3-Pentanone; Propione	Get Report 
METHYL ACRYLATE	96-33-3	C4H6O2	"Methoxycarbonylethylene; Methyl acrylate, inhibited; Methyl ester of acrylic acid; Methyl propenoate"	Get Report 
ETHYLENE THIOUREA	96-45-7	C3H6N2S	"1,3-Ethylene-2-thiourea; N,N-Ethylenethiourea; ETU; 2-Imidazolidine-2-thione"	Get Report 
"4,4'-THIOBIS(6-TERT-BUTYL-M-CRESOL)"	96-69-5	C22H30O2S	"4,4'-Thiobis(3-methyl-6-tert-butylphenol); 1,1'-Thiobis(2-methyl-4-hydroxy-5-tert-butylbenzene)"	Get Report 
TETRAETHYLTHIURAM DISULFIDE	97-77-8	C10H20N2S4	Antabuse; bis(Diethylthiocarbamoyl) disulfide; Disulfiram; Ro-Sulfiram; TETD	Get Report 
FURFURYL ALCOHOL	98-00-0	C5H6O2	2-Furylmethanol; 2-Hydroxymethylfuran	Get Report 
FURFURAL	98-01-1	C5H4O2	Fural; 2-Furancarboxaldehyde; Furfuraldehyde; 2-Furfuraldehyde	Get Report 
BENZOTRICHLORIDE	98-07-7	C7H5Cl3		Get Report 
P-TERT-BUTYLTOLUENE	98-51-1	C11H16	4-tert-Butyltoluene; 1-Methyl-4-tert-butylbenzene	Get Report 
CUMENE	98-82-8	C9H12	Cumol; Isopropyl benzene; 2-Phenyl propane	Get Report 
ISOPROPENYLBENZENE	98-83-9	C9H10	AMS; Isopropenyl benzene; 1-Methyl-1-phenylethylene; 2-Phenyl propylene	Get Report 
ACETOPHENONE	98-86-2	C8H8O		Get Report 
BENZOYL CHLORIDE	98-88-4	C7H5ClO		Get Report 
NITROBENZENE	98-95-3	C6H5NO2	Essence of mirbane; Nitrobenzol; Oil of mirbane	Get Report 
M-NITROTOLUENE	99-08-1	C7H7NO2	m-Methylnitrobenzene; 3-Methylnitrobenzene; meta-Nitrotoluene; 3-Nitrotoluene	Get Report 
M-DINITROBENZENE	99-65-0	C6H4N2O4	"meta-Dinitrobenzene; 1,3-Dinitrobenzene"	Get Report 
P-NITROTOLUENE	99-99-0	C7H7NO2	p-Methylnitrobenzene; 4-Methylnitrobenzene; para-Nitrotoluene; 4-Nitrotoluene	Get Report 
TERT-AMYL METHYL ETHER (TAME)	994-05-8	C6H14O		Get Report 
"NICKEL SULFIDE ROASTING, DUST AND FUME, as Ni"	NO CAS	NiS		Get Report 
"GRAIN DUST (OAT, WHEAT, BARLEY)"	NO CAS	No forumla	"None [Note: Grain dust consists of 60-75% organic materials (cereal grains) & 25-40% inorganic materials (soil), and includes fertilizers, pesticides & microorganisms.]"	Get Report 
SOAPSTONE (CONTAINING LESS THAN 1% QUARTZ)	NO CAS	3MgO-4SiO2-H2O	Massive talc; Soapstone silicate; Steatite	Get Report 
WELDING FUMES NOT OTHERWISE CLASSIFIED	NO CAS	Mixture	Synonyms vary depending upon the specific component of the welding fumes.	Get Report 
"WOOD DUST, BEECH OR OAK"	NO CAS	No formula		Get Report 
"WOOD DUST, HARD WOOD"	NO CAS	No formula	Hard wood dust	Get Report 
"WOOD DUST, SOFT WOOD"	NO CAS	No formula	Soft wood dust	Get Report 
"ROSIN CORE SOLDER PYROLYSIS PRODUCTS, as FORMALDEHYDE"	NO CAS	CH2O		Get Report 
MINERAL WOOL FIBERS	NO CAS	No formula	Manmade mineral fibers; Rock wool; Slag wool; Synthetic vitreous fibers	Get Report 
COKE OVEN EMISSIONS	NO CAS	Mixture	Synonyms vary depending upon the specific constituent.	Get Report 
SYNTHETIC VITREOUS FIBERS (CONTINUOUS FILAMENT GLASS FIBERS)	NO CAS	Mixture	Manmade mineral fibers; Rock wool; Slag wool; Synthetic vitreous fibers	Get Report 
FLOUR DUST	NO CAS	No forumla		Get Report 
COAL DUST	NO CAS	No forumla	Anthracite coal dust; Bituminous coal dust; Lignite coal dust	Get Report 
STEARATES	NO CAS			Get Report 
"CYANIDES, as CN"	NO CAS	varies		Get Report 
COTTON DUST (RAW)	NO CAS	No formula	Raw cotton dust	Get Report 
"HEXANE ISOMERS, EXCLUDING N-HEXANE"	NO CAS	C6H14	Irriation eyes; skin respiratory system; headache; giddiness; dizzyness	Get Report 
